stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_278_57019,,"Plac Bohaterów Getta","",50.046605,19.955028,,,0,,,
stop_278_57029,,"Plac Bohaterów Getta","",50.046716,19.9551,,,0,,,
stop_279_57119,,"Korona","",50.043604,19.946683,,,0,,,
stop_279_57129,,"Korona","",50.044052,19.947497,,,0,,,
stop_280_57219,,"Smolki","",50.041496,19.943119,,,0,,,
stop_280_57229,,"Smolki","",50.041629,19.943262,,,0,,,
stop_282_57519,,"Szwedzka","",50.046721,19.925299,,,0,,,
stop_282_57529,,"Szwedzka","",50.046744,19.925484,,,0,,,
stop_283_57619,,"Kapelanka","",50.044913,19.922059,,,0,,,
stop_283_57629,,"Kapelanka","",50.045048,19.922048,,,0,,,
stop_284_57719,,"Słomiana","",50.041404,19.9241,,,0,,,
stop_284_57729,,"Słomiana","",50.040825,19.924547,,,0,,,
stop_285_58419,,"Kobierzyńska","",50.03444,19.925931,,,0,,,
stop_285_58429,,"Kobierzyńska","",50.034593,19.925986,,,0,,,
stop_289_58919,,"Ruczaj","",50.026932,19.905181,,,0,,,
stop_289_58929,,"Ruczaj","",50.02729,19.906125,,,0,,,
stop_290_61019,,"Rondo Matecznego","",50.036959,19.940795,,,0,,,
stop_290_61029,,"Rondo Matecznego","",50.035927,19.940363,,,0,,,
stop_291_61119,,"Rzemieślnicza","",50.033644,19.938697,,,0,,,
stop_291_61129,,"Rzemieślnicza","",50.03295,19.938389,,,0,,,
stop_292_61219,,"Borsucza","",50.030504,19.928538,,,0,,,
stop_292_61229,,"Borsucza","",50.03055,19.929101,,,0,,,
stop_293_61319,,"Brożka (nż)","",50.030494,19.931874,,,0,,,
stop_293_61329,,"Brożka (nż)","",50.03053,19.93173,,,0,,,
stop_294_61419,,"PT","",50.031724,19.934092,,,0,,,
stop_296_62319,,"Dworcowa","",50.033435,19.970294,,,0,,,
stop_296_62329,,"Dworcowa","",50.032673,19.971078,,,0,,,
stop_297_62419,,"Kabel","",50.027229,19.976567,,,0,,,
stop_297_62429,,"Kabel","",50.026621,19.977231,,,0,,,
stop_298_63019,,"Bieżanowska","",50.023027,19.981791,,,0,,,
stop_298_63029,,"Bieżanowska","",50.023119,19.981692,,,0,,,
stop_298_63039,,"Bieżanowska","",50.023562,19.97926,,,0,,,
